aX,aY,aZ,gX,gY,gZ
0.138,-0.204,2.123,78.735,28.259,-19.714
0.150,-0.219,2.018,59.692,5.493,-18.066
0.178,-0.265,1.890,41.504,-14.282,-15.259
0.201,-0.335,1.753,29.480,-27.466,-13.733
0.216,-0.395,1.629,26.733,-35.278,-15.747
0.222,-0.418,1.543,33.813,-36.926,-21.545
0.201,-0.413,1.507,48.462,-33.630,-30.273
0.185,-0.371,1.488,67.078,-28.503,-40.283
0.162,-0.296,1.483,86.304,-22.522,-49.622
0.144,-0.208,1.508,101.624,-15.747,-56.946
0.131,-0.100,1.516,110.474,-12.268,-60.913
0.141,-0.050,1.539,111.511,-12.207,-60.730
0.150,-0.007,1.524,103.210,-17.822,-57.922
0.167,0.012,1.456,88.379,-27.283,-53.955
0.182,0.011,1.366,71.228,-37.292,-49.500
0.187,0.002,1.315,55.969,-45.959,-45.959
0.181,-0.026,1.276,50.110,-53.528,-44.006
0.177,-0.081,1.157,57.800,-61.951,-43.579
0.180,-0.085,0.990,67.200,-69.031,-46.448
0.170,-0.038,0.840,72.632,-71.838,-50.659
0.163,0.022,0.703,73.730,-70.984,-53.345
0.140,0.062,0.583,70.496,-69.031,-53.833
0.128,0.089,0.460,64.758,-65.857,-52.002
0.117,0.088,0.308,59.937,-61.584,-48.462
0.099,0.074,0.199,52.612,-55.969,-44.922
0.078,0.034,0.220,46.326,-48.401,-42.419
0.059,-0.017,0.281,51.025,-42.969,-41.931
0.054,-0.091,0.164,67.932,-44.495,-43.396
0.044,-0.115,-0.043,79.224,-47.424,-46.875
0.008,-0.081,-0.176,76.965,-43.884,-51.025
0.002,-0.021,-0.230,71.045,-34.729,-51.575
-0.011,0.025,-0.300,68.359,-25.085,-49.011
-0.030,0.075,-0.376,64.880,-16.663,-44.006
-0.031,0.079,-0.429,58.594,-7.141,-36.865
-0.024,0.059,-0.423,47.241,2.441,-28.870
-0.016,0.003,-0.390,33.569,11.108,-22.461
-0.020,-0.029,-0.365,22.827,16.602,-18.921
-0.038,-0.035,-0.394,16.357,19.836,-17.273
-0.072,-0.001,-0.445,11.841,23.865,-15.747
-0.097,0.003,-0.490,8.118,31.250,-11.841
-0.098,-0.037,-0.473,3.296,40.955,-5.249
-0.083,-0.085,-0.372,-7.080,51.697,1.892
-0.054,-0.109,-0.305,-20.203,57.983,8.728
-0.027,-0.160,-0.252,-33.020,59.937,14.160
-0.014,-0.180,-0.128,-47.668,61.829,15.503
-0.047,-0.157,-0.011,-62.012,61.584,12.451
-0.093,-0.098,0.004,-71.960,57.922,8.423
-0.130,-0.042,-0.026,-76.416,57.739,6.042
-0.152,-0.032,0.004,-76.355,65.430,6.897
-0.126,-0.059,0.130,-71.411,78.735,10.620
-0.085,-0.116,0.346,-65.063,91.980,14.893
-0.074,-0.150,0.612,-66.101,97.961,17.090
-0.090,-0.096,0.914,-80.566,92.773,15.747
-0.162,-0.019,1.162,-108.215,75.806,13.367
-0.278,0.059,1.332,-138.550,49.683,13.062
-0.385,0.056,1.342,-153.442,24.170,15.808
-0.496,-0.007,1.248,-158.325,5.615,20.081
-0.564,-0.054,1.186,-161.926,-1.221,23.071
-0.576,-0.077,1.174,-157.227,3.174,24.353
-0.553,-0.062,1.244,-142.761,13.916,22.522
-0.503,0.013,1.358,-125.488,26.794,17.273
-0.456,0.146,1.519,-109.436,37.109,11.108
-0.461,0.286,1.778,-94.788,46.021,6.287
-0.473,0.295,2.043,-79.529,50.232,6.165
-0.500,0.405,2.271,-68.298,45.227,8.850
-0.523,0.409,2.324,-60.120,35.156,18.005
-0.517,0.290,2.326,-56.763,25.330,30.396
-0.408,0.124,2.418,-53.650,19.897,41.443
-0.405,-0.154,2.304,-48.584,11.780,47.424
-0.353,-0.159,2.246,-45.898,6.348,44.189
-0.245,-0.158,2.215,-30.945,10.132,38.452
-0.164,-0.163,2.409,-9.094,18.555,31.006
-0.173,0.077,2.439,12.085,15.747,22.827
-0.220,0.470,2.394,33.630,20.447,22.034
-0.104,0.336,2.568,48.645,23.376,32.898
-0.147,0.330,2.590,46.143,4.395,42.358
-0.136,0.329,2.415,40.833,-23.621,54.016
-0.130,0.265,2.165,31.738,-45.105,66.650
-0.115,0.125,1.928,18.616,-59.143,75.928
