aX,aY,aZ,gX,gY,gZ
0.726,0.245,1.789,-66.589,41.321,5.432
0.804,0.161,2.030,-67.261,43.335,-2.747
0.842,0.089,2.169,-60.242,30.762,-15.381
0.797,0.093,2.145,-56.519,5.371,-31.982
0.654,0.181,1.968,-58.472,-20.996,-45.349
0.506,0.310,1.730,-62.561,-39.795,-52.368
0.374,0.401,1.533,-63.843,-44.373,-53.040
0.275,0.417,1.451,-58.960,-35.522,-50.903
0.229,0.373,1.492,-46.387,-17.578,-50.476
0.238,0.319,1.605,-29.846,1.953,-54.871
0.248,0.311,1.759,-15.503,17.883,-64.392
0.223,0.332,1.949,-3.601,26.978,-75.378
0.169,0.323,2.132,6.287,26.489,-84.534
0.064,0.369,2.298,9.399,16.724,-92.285
-0.058,0.487,2.392,5.859,-0.427,-97.229
-0.218,0.634,2.340,0.854,-23.804,-98.267
-0.364,0.789,2.167,0.000,-47.852,-95.398
-0.495,0.925,1.947,4.272,-63.416,-89.355
-0.595,1.036,1.749,11.536,-67.871,-82.825
-0.674,1.103,1.604,20.996,-64.270,-74.585
-0.727,1.101,1.517,33.081,-57.190,-64.636
-0.754,1.067,1.455,44.678,-50.720,-54.626
-0.786,1.002,1.393,53.162,-47.485,-44.556
-0.837,0.926,1.339,56.580,-47.119,-33.997
-0.863,0.828,1.256,55.725,-48.950,-22.949
-0.888,0.707,1.147,54.199,-52.490,-13.062
-0.889,0.631,1.020,55.542,-54.016,-7.751
-0.864,0.594,0.860,60.669,-54.504,-6.042
-0.847,0.568,0.663,71.045,-52.795,-5.310
-0.854,0.531,0.469,86.487,-46.204,-6.287
-0.876,0.497,0.322,105.225,-34.119,-9.094
-0.891,0.534,0.241,125.061,-18.738,-13.855
-0.880,0.616,0.272,145.630,-3.113,-16.052
-0.834,0.676,0.393,154.968,9.216,-10.437
-0.774,0.712,0.490,145.081,10.620,3.357
-0.697,0.696,0.494,122.314,1.404,24.048
-0.606,0.641,0.430,92.590,-11.597,47.424
-0.528,0.562,0.354,63.843,-23.804,69.397
-0.433,0.366,0.273,45.654,-31.799,86.487
-0.365,0.280,0.192,37.109,-36.621,94.727
-0.265,0.166,0.131,36.194,-35.950,98.633
-0.181,0.110,0.103,36.804,-30.457,97.046
-0.102,0.070,0.101,34.668,-24.536,93.445
-0.011,0.035,0.124,29.175,-18.372,90.210
0.090,0.045,0.153,22.400,-12.878,86.792
0.180,0.061,0.219,15.015,-7.446,84.595
0.290,0.069,0.284,9.705,-3.235,83.435
0.393,0.077,0.365,7.996,-0.061,82.031
0.494,0.052,0.438,5.920,2.136,80.566
0.577,-0.013,0.476,-0.610,1.770,78.552
0.642,-0.041,0.500,-13.245,0.122,74.402
0.712,-0.064,0.530,-27.527,0.488,70.435
0.792,-0.097,0.570,-41.016,3.662,65.979
0.852,-0.128,0.607,-49.316,8.850,59.875
0.904,-0.151,0.667,-51.208,15.747,51.697
0.954,-0.151,0.742,-48.889,22.949,41.687
0.978,-0.120,0.828,-45.349,28.076,30.212
0.984,-0.066,0.930,-38.696,31.189,18.738
0.973,-0.071,1.006,-26.917,32.288,8.606
0.946,-0.134,1.036,-16.663,30.090,0.977
0.918,-0.193,1.009,-13.245,25.452,-4.395
0.873,-0.220,0.993,-16.174,22.034,-11.047
0.838,-0.204,1.007,-22.644,22.095,-18.372
0.818,-0.178,1.038,-28.870,23.499,-24.658
0.789,-0.188,1.093,-33.569,24.780,-30.457
0.775,-0.201,1.181,-42.358,25.818,-37.537
0.703,-0.190,1.316,-50.354,26.184,-47.424
0.606,-0.150,1.494,-47.546,26.184,-61.340
0.453,-0.134,1.668,-29.785,24.414,-76.660
0.325,-0.068,1.766,-7.874,18.005,-90.759
0.193,0.099,1.760,8.484,6.592,-101.868
0.067,0.289,1.678,16.785,-4.700,-106.018
-0.027,0.398,1.619,17.517,-11.658,-101.868
-0.120,0.438,1.596,13.916,-14.343,-95.581
-0.142,0.442,1.683,10.315,-16.052,-90.332
-0.268,0.464,1.700,7.263,-25.330,-87.830
-0.377,0.512,1.669,5.798,-35.034,-85.876
-0.514,0.558,1.644,7.874,-39.795,-82.703
-0.622,0.575,1.646,14.282,-39.124,-78.491
-0.694,0.563,1.661,25.452,-36.560,-73.364
