aX,aY,aZ,gX,gY,gZ
0.506,0.271,2.086,-57.556,43.945,-61.462
0.549,0.353,2.343,-39.185,39.307,-72.144
0.525,0.390,2.376,-18.433,18.494,-81.726
0.533,0.482,2.360,-11.658,0.183,-86.304
0.462,0.559,2.274,-19.775,-14.221,-85.754
0.376,0.636,2.164,-30.518,-26.794,-83.618
0.235,0.641,1.952,-29.236,-43.396,-80.627
0.098,0.629,1.736,-27.222,-50.110,-79.956
-0.027,0.617,1.590,-26.794,-45.410,-80.627
-0.129,0.618,1.522,-23.132,-35.400,-81.787
-0.177,0.632,1.527,-15.503,-25.024,-84.778
-0.198,0.620,1.562,-2.319,-18.066,-88.562
-0.181,0.594,1.579,12.329,-15.381,-91.797
-0.162,0.593,1.590,24.719,-14.343,-95.520
-0.162,0.604,1.584,36.560,-13.855,-99.487
-0.190,0.648,1.572,48.340,-15.076,-102.417
-0.225,0.676,1.544,57.739,-18.616,-102.173
-0.263,0.692,1.491,61.951,-24.597,-98.755
-0.294,0.694,1.406,61.279,-31.311,-93.018
-0.345,0.703,1.305,58.533,-37.537,-85.205
-0.377,0.720,1.204,55.359,-41.809,-76.355
-0.385,0.699,1.130,54.199,-42.969,-65.918
-0.379,0.634,1.097,52.917,-42.236,-55.359
-0.366,0.528,1.043,50.110,-41.931,-46.265
-0.346,0.490,1.030,40.955,-39.612,-39.734
-0.368,0.435,0.962,40.283,-44.983,-36.377
-0.387,0.395,0.829,48.096,-52.551,-34.302
-0.419,0.368,0.700,53.955,-54.810,-32.715
-0.451,0.347,0.598,57.861,-53.101,-30.640
-0.462,0.346,0.507,60.913,-50.232,-28.503
-0.467,0.352,0.442,62.439,-45.044,-25.330
-0.440,0.341,0.443,61.340,-35.217,-19.592
-0.393,0.308,0.513,59.143,-24.353,-13.428
-0.338,0.251,0.579,57.861,-18.982,-8.118
-0.276,0.167,0.611,54.749,-18.127,-3.723
-0.251,0.161,0.620,49.133,-20.630,-1.587
-0.230,0.152,0.619,45.349,-24.292,0.549
-0.206,0.155,0.609,39.917,-28.748,3.540
-0.202,0.146,0.580,32.349,-33.691,8.667
-0.194,0.129,0.531,22.522,-36.682,13.855
-0.183,0.113,0.496,13.367,-36.194,18.860
-0.162,0.100,0.498,5.859,-31.555,21.667
-0.131,0.095,0.520,-0.854,-22.522,23.499
-0.118,0.107,0.605,-6.287,-11.963,23.315
-0.097,0.080,0.646,-0.977,-9.338,19.897
-0.067,0.073,0.677,4.333,-6.958,16.296
-0.063,0.078,0.730,4.395,-4.517,12.634
-0.064,0.083,0.746,3.845,-4.456,9.460
-0.071,0.107,0.730,2.991,-6.104,7.446
-0.076,0.146,0.714,0.732,-6.714,6.653
-0.075,0.176,0.709,-1.526,-5.432,7.263
-0.067,0.195,0.720,-4.089,-2.808,9.155
-0.049,0.185,0.734,-4.883,1.587,11.353
-0.032,0.179,0.788,-5.920,7.751,12.695
-0.014,0.155,0.834,-3.479,10.437,11.536
0.006,0.143,0.898,0.549,12.878,9.827
0.018,0.128,0.968,3.296,13.855,7.568
0.026,0.111,1.006,4.517,11.230,5.432
0.023,0.116,1.012,3.601,6.042,3.479
0.005,0.140,0.980,0.671,-0.122,2.380
-0.014,0.163,0.926,-2.747,-3.906,2.563
-0.028,0.161,0.885,-4.639,-4.150,3.357
-0.025,0.157,0.871,-5.554,-1.465,3.662
-0.019,0.144,0.896,-5.310,3.479,3.235
0.002,0.135,0.966,-3.174,8.484,2.197
0.003,0.120,1.004,-0.977,10.376,0.977
0.006,0.128,1.064,-0.366,9.583,-0.183
-0.000,0.133,1.079,-0.610,5.493,-0.427
-0.012,0.137,1.097,-2.991,1.038,-0.061
-0.031,0.149,1.086,-6.470,-4.578,0.488
-0.042,0.173,1.039,-8.240,-10.864,1.648
-0.058,0.190,0.987,-9.949,-15.076,3.174
-0.065,0.201,0.935,-12.695,-16.296,5.066
-0.064,0.203,0.908,-14.526,-13.977,6.470
-0.054,0.184,0.923,-13.489,-8.728,6.287
-0.037,0.161,0.953,-9.521,-3.479,4.272
-0.024,0.152,0.991,-4.150,0.977,0.732
-0.022,0.172,1.038,1.587,4.578,-3.113
-0.022,0.196,1.074,6.104,5.432,-6.104
-0.031,0.220,1.079,6.409,2.869,-7.080
-0.043,0.243,1.075,4.578,-0.549,-5.920
-0.051,0.238,1.062,2.197,-3.418,-3.235
-0.055,0.220,1.022,-0.671,-6.653,-0.549
-0.061,0.200,0.980,-2.258,-8.850,1.587
-0.064,0.182,0.950,-2.563,-8.728,2.441
-0.064,0.166,0.943,-2.441,-6.165,2.319
-0.060,0.151,0.953,-1.831,-3.357,1.038
-0.049,0.141,0.969,0.671,-0.427,-0.732
-0.043,0.144,0.989,4.395,2.075,-3.235
-0.041,0.161,1.014,7.812,4.395,-6.470
-0.041,0.183,1.032,10.803,5.188,-8.972
-0.043,0.202,1.048,11.780,3.906,-10.193
-0.049,0.218,1.047,10.193,1.038,-9.399
-0.059,0.223,1.019,7.446,-2.808,-7.263
-0.072,0.213,0.983,4.761,-6.104,-4.517
-0.088,0.197,0.942,2.441,-8.240,-2.258
-0.100,0.176,0.911,1.465,-7.812,-1.038
