Red,Green,Blue
0.500,0.278,0.222
0.571,0.214,0.214
0.727,0.091,0.182
0.692,0.154,0.154
0.727,0.091,0.182
0.667,0.133,0.200
0.727,0.091,0.182
0.625,0.187,0.187
0.750,0.083,0.167
0.727,0.091,0.182
0.692,0.154,0.154
0.727,0.091,0.182
0.750,0.083,0.167
0.643,0.143,0.214
0.727,0.091,0.182
0.727,0.091,0.182
0.727,0.091,0.182
0.500,0.294,0.206
0.727,0.091,0.182
0.727,0.091,0.182
0.727,0.091,0.182
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.615,0.154,0.231
0.643,0.143,0.214
0.667,0.167,0.167
0.667,0.167,0.167
0.643,0.143,0.214
0.600,0.200,0.200
0.667,0.167,0.167
0.600,0.200,0.200
0.667,0.167,0.167
0.615,0.154,0.231
0.615,0.154,0.231
0.667,0.167,0.167
0.643,0.143,0.214
0.600,0.200,0.200
0.615,0.154,0.231
0.667,0.167,0.167
0.625,0.187,0.187
0.667,0.167,0.167
0.615,0.154,0.231
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.643,0.143,0.214
0.667,0.167,0.167
0.667,0.167,0.167
0.615,0.154,0.231
0.643,0.143,0.214
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.615,0.154,0.231
0.643,0.143,0.214
