Red,Green,Blue
0.529,0.294,0.176
0.562,0.250,0.187
0.562,0.250,0.187
0.562,0.250,0.187
0.562,0.250,0.187
0.562,0.250,0.187
0.562,0.250,0.187
0.562,0.250,0.187
0.529,0.294,0.176
0.500,0.300,0.200
0.533,0.267,0.200
0.533,0.267,0.200
0.571,0.286,0.143
0.583,0.250,0.167
0.583,0.250,0.167
0.583,0.250,0.167
0.571,0.286,0.143
0.533,0.267,0.200
0.571,0.286,0.143
0.615,0.231,0.154
0.615,0.231,0.154
0.562,0.250,0.187
0.529,0.294,0.176
0.562,0.250,0.187
0.562,0.250,0.187
0.588,0.235,0.176
0.562,0.250,0.187
0.562,0.250,0.187
0.562,0.250,0.187
0.562,0.250,0.187
0.562,0.250,0.187
0.571,0.286,0.143
0.562,0.250,0.187
0.588,0.235,0.176
0.588,0.235,0.176
0.562,0.250,0.187
0.588,0.235,0.176
0.588,0.235,0.176
0.588,0.235,0.176
0.526,0.263,0.211
0.562,0.250,0.187
0.556,0.278,0.167
0.556,0.278,0.167
0.556,0.278,0.167
0.533,0.267,0.200
0.533,0.267,0.200
0.583,0.250,0.167
0.533,0.267,0.200
0.562,0.250,0.187
0.533,0.267,0.200
0.562,0.250,0.187
0.484,0.290,0.226
0.465,0.302,0.233
0.439,0.317,0.244
0.419,0.326,0.256
0.419,0.326,0.256
0.371,0.343,0.286
0.364,0.364,0.273
0.378,0.351,0.270
0.378,0.351,0.270
0.385,0.346,0.269
0.444,0.296,0.259
0.458,0.333,0.208
