Red,Green,Blue
0.273,0.347,0.380
0.271,0.347,0.382
0.271,0.343,0.386
0.267,0.348,0.385
0.264,0.349,0.388
0.268,0.346,0.386
0.268,0.346,0.386
0.268,0.346,0.386
0.264,0.349,0.388
0.269,0.346,0.385
0.268,0.346,0.386
0.268,0.346,0.386
0.262,0.349,0.389
0.266,0.347,0.387
0.260,0.350,0.390
0.264,0.347,0.388
0.264,0.347,0.388
0.264,0.347,0.388
0.263,0.347,0.390
0.263,0.347,0.390
0.261,0.348,0.391
0.261,0.348,0.391
0.261,0.348,0.391
0.263,0.351,0.386
0.261,0.348,0.391
0.261,0.348,0.391
0.265,0.345,0.389
0.259,0.348,0.393
0.264,0.345,0.391
0.264,0.345,0.391
0.257,0.349,0.394
0.262,0.346,0.393
0.262,0.346,0.393
0.257,0.352,0.390
0.260,0.346,0.394
0.262,0.350,0.388
0.257,0.347,0.396
0.263,0.343,0.394
0.260,0.350,0.390
0.257,0.347,0.396
0.257,0.347,0.396
0.262,0.350,0.388
0.260,0.346,0.394
0.260,0.346,0.394
0.262,0.350,0.388
0.257,0.347,0.396
0.260,0.350,0.390
0.260,0.350,0.390
0.257,0.347,0.396
0.257,0.347,0.396
0.257,0.347,0.396
0.257,0.347,0.396
0.257,0.347,0.396
0.257,0.347,0.396
0.255,0.353,0.392
0.260,0.346,0.394
0.260,0.346,0.394
0.260,0.346,0.394
0.255,0.349,0.396
0.255,0.349,0.396
0.260,0.346,0.394
0.260,0.346,0.394
0.260,0.346,0.394
0.260,0.346,0.394
0.260,0.346,0.394
0.260,0.346,0.394
0.260,0.346,0.394
0.260,0.346,0.394
0.260,0.346,0.394
0.255,0.353,0.392
0.257,0.347,0.396
0.255,0.353,0.392
0.260,0.346,0.394
0.260,0.346,0.394
0.260,0.346,0.394
0.257,0.352,0.390
0.255,0.349,0.396
0.260,0.346,0.394
0.260,0.346,0.394
0.260,0.346,0.394
0.262,0.350,0.388
0.262,0.350,0.388
0.262,0.350,0.388
0.257,0.347,0.396
0.257,0.347,0.396
0.257,0.347,0.396
0.257,0.347,0.396
0.263,0.343,0.394
0.258,0.351,0.392
0.260,0.344,0.396
0.258,0.344,0.398
0.258,0.344,0.398
0.258,0.344,0.398
0.261,0.348,0.391
0.258,0.344,0.398
0.258,0.344,0.398
0.258,0.344,0.398
0.258,0.344,0.398
0.256,0.344,0.400
0.253,0.352,0.396
0.256,0.344,0.400
0.256,0.344,0.400
0.256,0.344,0.400
0.256,0.344,0.400
0.258,0.344,0.398
0.255,0.351,0.394
0.255,0.347,0.398
0.262,0.350,0.388
0.260,0.346,0.394
0.260,0.346,0.394
0.255,0.349,0.396
0.257,0.349,0.394
0.265,0.345,0.389
0.264,0.347,0.388
0.271,0.346,0.383
0.275,0.345,0.380
