Red,Green,Blue
0.286,0.286,0.429
0.316,0.263,0.421
0.294,0.294,0.412
0.312,0.250,0.437
0.333,0.267,0.400
0.333,0.267,0.400
0.312,0.250,0.437
0.312,0.250,0.437
0.312,0.250,0.437
0.312,0.250,0.437
0.312,0.250,0.437
0.312,0.250,0.437
0.312,0.250,0.437
0.333,0.267,0.400
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.308,0.231,0.462
0.308,0.231,0.462
0.286,0.286,0.429
0.286,0.286,0.429
0.308,0.231,0.462
0.308,0.231,0.462
0.308,0.231,0.462
0.286,0.286,0.429
0.308,0.231,0.462
0.308,0.231,0.462
0.308,0.231,0.462
0.308,0.231,0.462
0.308,0.231,0.462
0.333,0.250,0.417
0.333,0.250,0.417
0.333,0.250,0.417
0.333,0.250,0.417
0.333,0.250,0.417
0.333,0.250,0.417
0.333,0.250,0.417
0.333,0.250,0.417
0.333,0.250,0.417
0.333,0.250,0.417
0.333,0.250,0.417
0.333,0.250,0.417
0.333,0.250,0.417
0.333,0.250,0.417
0.308,0.231,0.462
0.308,0.231,0.462
0.308,0.231,0.462
0.308,0.231,0.462
0.308,0.231,0.462
0.286,0.286,0.429
0.286,0.286,0.429
0.308,0.231,0.462
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.308,0.231,0.462
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.286,0.286,0.429
0.308,0.231,0.462
0.308,0.231,0.462
0.286,0.286,0.429
0.312,0.250,0.437
0.316,0.263,0.421
