Red,Green,Blue
0.475,0.313,0.212
0.470,0.320,0.210
0.475,0.317,0.208
0.476,0.320,0.204
0.480,0.314,0.206
0.475,0.317,0.208
0.476,0.320,0.204
0.476,0.320,0.204
0.475,0.323,0.202
0.469,0.327,0.204
0.469,0.323,0.208
0.468,0.330,0.202
0.473,0.323,0.204
0.473,0.323,0.204
0.473,0.323,0.204
0.467,0.326,0.207
0.472,0.326,0.202
0.466,0.330,0.205
0.471,0.329,0.200
0.470,0.325,0.205
0.470,0.325,0.205
0.468,0.329,0.203
0.468,0.329,0.203
0.468,0.329,0.203
0.468,0.325,0.208
0.461,0.329,0.211
0.473,0.324,0.203
0.466,0.329,0.205
0.466,0.329,0.205
0.466,0.329,0.205
0.466,0.329,0.205
0.466,0.329,0.205
0.458,0.333,0.208
0.458,0.333,0.208
0.465,0.324,0.211
0.464,0.333,0.203
0.464,0.333,0.203
0.463,0.328,0.209
0.463,0.328,0.209
0.463,0.328,0.209
0.463,0.328,0.209
0.463,0.328,0.209
0.463,0.328,0.209
0.463,0.328,0.209
0.471,0.324,0.206
0.471,0.324,0.206
0.463,0.328,0.209
0.463,0.328,0.209
0.463,0.328,0.209
0.460,0.333,0.206
0.460,0.333,0.206
0.459,0.328,0.213
0.467,0.333,0.200
0.466,0.328,0.207
0.456,0.333,0.211
0.463,0.333,0.204
0.472,0.321,0.208
0.462,0.327,0.212
0.451,0.333,0.216
0.469,0.327,0.204
0.458,0.333,0.208
0.469,0.327,0.204
0.458,0.333,0.208
0.458,0.333,0.208
0.457,0.326,0.217
0.467,0.333,0.200
0.465,0.326,0.209
0.465,0.326,0.209
0.465,0.326,0.209
0.465,0.326,0.209
0.457,0.326,0.217
0.458,0.333,0.208
0.460,0.340,0.200
0.463,0.333,0.204
0.464,0.321,0.214
0.475,0.322,0.203
0.469,0.328,0.203
0.469,0.328,0.203
0.469,0.328,0.203
0.463,0.328,0.209
0.463,0.328,0.209
0.471,0.324,0.206
0.471,0.324,0.206
0.471,0.324,0.206
0.464,0.333,0.203
0.471,0.324,0.206
0.463,0.328,0.209
0.463,0.328,0.209
0.470,0.333,0.197
0.469,0.328,0.203
0.469,0.328,0.203
0.459,0.328,0.213
0.466,0.328,0.207
0.456,0.333,0.211
0.456,0.333,0.211
0.456,0.333,0.211
0.463,0.333,0.204
0.472,0.321,0.208
0.451,0.333,0.216
0.469,0.327,0.204
0.469,0.327,0.204
0.469,0.327,0.204
0.463,0.333,0.204
0.468,0.323,0.210
0.474,0.329,0.197
0.482,0.318,0.200
0.473,0.323,0.204
0.460,0.320,0.220
