Red,Green,Blue
0.621,0.207,0.172
0.714,0.143,0.143
0.750,0.100,0.150
0.737,0.105,0.158
0.737,0.105,0.158
0.737,0.105,0.158
0.750,0.100,0.150
0.750,0.100,0.150
0.762,0.095,0.143
0.727,0.136,0.136
0.750,0.100,0.150
0.750,0.100,0.150
0.750,0.125,0.125
0.750,0.125,0.125
0.765,0.118,0.118
0.750,0.100,0.150
0.750,0.100,0.150
0.727,0.136,0.136
0.750,0.100,0.150
0.750,0.100,0.150
0.750,0.100,0.150
0.714,0.143,0.143
0.714,0.143,0.143
0.750,0.100,0.150
0.737,0.105,0.158
0.750,0.100,0.150
0.714,0.143,0.143
0.750,0.100,0.150
0.750,0.100,0.150
0.714,0.143,0.143
0.714,0.143,0.143
0.737,0.105,0.158
0.750,0.100,0.150
0.714,0.143,0.143
0.714,0.143,0.143
0.737,0.105,0.158
0.750,0.100,0.150
0.714,0.143,0.143
0.714,0.143,0.143
0.750,0.100,0.150
0.750,0.100,0.150
0.727,0.136,0.136
0.727,0.136,0.136
0.750,0.100,0.150
0.750,0.100,0.150
0.714,0.143,0.143
0.750,0.100,0.150
0.737,0.105,0.158
0.727,0.136,0.136
0.750,0.100,0.150
0.750,0.100,0.150
0.714,0.143,0.143
0.714,0.143,0.143
0.750,0.100,0.150
0.682,0.136,0.182
0.750,0.100,0.150
0.750,0.100,0.150
0.727,0.136,0.136
0.737,0.105,0.158
0.750,0.100,0.150
0.750,0.100,0.150
0.737,0.105,0.158
0.714,0.143,0.143
0.714,0.143,0.143
0.714,0.143,0.143
0.750,0.100,0.150
