aX,aY,aZ,gX,gY,gZ
0.057,0.921,-1.995,41.931,43.457,25.574
-0.018,0.850,-2.162,75.806,40.649,11.108
-0.093,0.627,-2.256,112.488,27.283,-10.864
-0.162,0.362,-2.297,136.292,7.263,-31.677
-0.226,0.118,-2.365,142.273,-7.996,-43.640
-0.295,0.044,-2.482,138.550,-11.353,-42.419
-0.399,0.129,-2.635,146.118,-0.610,-36.255
-0.483,0.256,-2.740,173.828,14.099,-38.757
-0.497,0.333,-2.696,220.093,19.226,-60.059
-0.471,0.065,-2.543,266.724,0.793,-102.173
-0.387,-0.383,-2.358,295.776,-33.264,-142.273
-0.285,-0.430,-2.071,295.227,-68.359,-156.372
-0.109,-0.544,-1.756,287.048,-97.168,-157.654
0.016,-0.579,-1.470,276.794,-114.075,-150.024
0.136,-0.377,-1.178,268.982,-114.258,-129.028
0.287,-0.319,-0.847,277.283,-106.262,-113.403
0.462,-0.256,-0.435,294.250,-102.478,-105.591
0.678,-0.490,0.136,317.871,-117.188,-111.572
0.789,-0.689,0.983,335.632,-152.893,-121.948
0.682,-0.635,1.838,310.059,-208.496,-124.695
0.697,-0.323,2.440,234.680,-252.563,-127.869
0.844,-0.078,2.814,167.725,-234.619,-108.765
0.936,0.172,2.920,134.399,-141.541,-39.368
0.983,0.440,2.723,121.155,-24.780,43.640
1.016,0.563,2.378,109.436,45.410,93.079
1.060,0.544,2.193,98.694,41.809,90.820
1.058,0.358,2.302,87.280,-16.479,51.270
1.003,0.137,2.592,64.880,-95.093,-2.502
0.933,-0.039,2.941,25.452,-163.452,-49.072
0.776,-0.154,3.326,-25.330,-209.290,-80.383
0.604,-0.265,3.507,-77.454,-207.947,-82.825
0.511,-0.213,3.266,-121.033,-139.282,-48.828
0.427,0.055,2.625,-154.297,-38.574,1.953
0.465,0.538,1.865,-172.363,38.513,39.856
0.418,0.959,1.138,-177.002,69.885,42.908
0.435,1.042,0.705,-165.833,46.570,8.545
0.412,1.118,0.580,-153.625,1.282,-33.691
0.390,1.124,0.585,-141.785,-32.715,-70.496
0.539,0.752,0.666,-125.183,-39.001,-95.703
0.739,0.341,0.723,-128.052,-30.762,-94.421
0.717,0.418,0.689,-159.851,-26.245,-61.340
0.610,0.455,0.556,-179.626,-3.601,-23.071
0.561,0.384,0.348,-179.626,41.748,11.658
0.488,0.502,0.033,-181.641,79.834,42.908
0.377,0.711,-0.316,-180.664,93.567,56.702
0.274,0.871,-0.560,-166.565,86.426,46.204
0.175,0.927,-0.636,-142.456,63.965,17.395
0.093,0.773,-0.628,-116.394,46.143,-15.137
0.130,0.457,-0.602,-98.145,51.514,-36.194
0.347,0.031,-0.641,-98.389,67.566,-36.377
0.385,0.195,-0.666,-124.878,56.946,-11.719
0.363,0.319,-0.667,-151.550,30.884,6.409
0.329,0.302,-0.592,-164.551,9.827,7.751
0.279,0.251,-0.535,-172.668,2.258,6.714
0.256,0.231,-0.525,-176.392,9.277,7.690
0.233,0.278,-0.573,-173.462,23.071,9.094
0.184,0.404,-0.650,-163.208,38.452,8.972
0.147,0.459,-0.677,-142.700,55.054,3.174
0.130,0.418,-0.675,-120.056,76.050,-4.639
0.201,0.232,-0.716,-103.821,102.173,-8.667
0.425,-0.026,-0.814,-99.487,119.202,-7.996
0.638,-0.080,-0.923,-114.319,103.149,-0.061
0.685,0.110,-0.987,-140.015,55.725,7.874
0.651,0.199,-0.997,-152.100,17.883,5.676
0.643,0.187,-0.978,-145.813,8.545,5.554
0.593,0.151,-0.999,-134.705,16.907,12.634
0.490,0.199,-1.102,-125.366,34.729,25.696
0.426,0.359,-1.262,-113.525,58.960,41.199
0.399,0.531,-1.410,-96.191,74.036,48.157
0.405,0.669,-1.452,-73.425,71.289,44.006
0.359,0.619,-1.381,-51.941,53.650,27.832
0.583,0.590,-1.270,-40.466,29.907,9.521
0.563,0.332,-1.077,-39.978,3.296,-14.465
0.629,0.305,-0.939,-50.415,-23.010,-21.545
0.530,0.346,-0.858,-63.110,-35.583,-14.160
0.428,0.429,-0.844,-62.927,-21.179,1.221
0.353,0.508,-0.915,-55.359,12.695,21.362
0.359,0.591,-1.042,-49.377,42.419,32.593
0.398,0.673,-1.160,-46.143,52.063,31.921
0.461,0.709,-1.240,-41.809,44.312,21.667
0.505,0.688,-1.248,-34.363,28.748,6.104
0.512,0.646,-1.183,-25.330,12.329,-5.798
0.519,0.602,-1.056,-16.418,-1.587,-14.709
0.525,0.548,-0.922,-10.925,-10.193,-20.447
0.553,0.507,-0.787,-9.094,-15.015,-23.071
0.560,0.458,-0.656,-7.141,-15.076,-21.851
0.613,0.426,-0.617,-6.714,-9.888,-13.672
0.614,0.441,-0.595,-6.104,-0.488,-1.343
0.576,0.469,-0.635,-8.911,11.169,11.536
0.551,0.509,-0.691,-11.536,20.569,20.081
0.520,0.543,-0.746,-12.939,25.757,24.353
0.502,0.574,-0.787,-13.245,27.527,25.146
0.482,0.590,-0.825,-12.756,25.269,22.400
0.460,0.610,-0.846,-11.169,18.738,17.578
0.452,0.612,-0.832,-8.362,10.864,10.742
0.460,0.579,-0.804,-5.981,4.517,3.174
0.494,0.549,-0.772,-5.066,0.854,-2.502
0.528,0.509,-0.738,-3.967,-0.610,-4.883
0.553,0.473,-0.692,-2.747,-1.587,-4.822
0.545,0.460,-0.650,-3.967,-2.441,-2.563
0.517,0.460,-0.630,-6.592,-1.648,0.977
0.490,0.470,-0.650,-8.850,3.174,5.371
0.464,0.496,-0.702,-10.925,10.132,9.949
0.458,0.527,-0.758,-11.780,14.771,11.963
0.455,0.552,-0.806,-10.986,15.259,10.681
0.484,0.580,-0.824,-8.118,11.597,8.240
0.463,0.557,-0.826,-5.005,5.920,3.418
0.500,0.537,-0.812,-3.845,1.038,0.366
0.522,0.495,-0.795,-3.418,-0.916,-2.869
0.536,0.484,-0.775,-5.554,-2.014,-1.282
0.516,0.488,-0.767,-7.935,-1.953,2.258
0.489,0.500,-0.767,-8.728,0.732,7.263
0.455,0.521,-0.788,-8.484,5.554,12.207
0.440,0.551,-0.821,-7.629,9.583,14.465
0.425,0.569,-0.851,-5.127,11.169,13.184
0.434,0.595,-0.863,-3.296,8.545,10.925
0.414,0.587,-0.860,-0.305,4.272,6.775
0.441,0.579,-0.840,2.075,-0.305,0.610
0.454,0.551,-0.814,3.601,-2.625,-2.930

0.174,0.627,-1.965,80.994,51.025,35.828
0.167,0.569,-2.005,105.164,44.434,21.484
0.171,0.411,-1.976,126.831,20.935,-1.404
0.182,0.240,-1.862,142.822,-8.301,-24.231
0.176,0.053,-1.753,152.222,-32.654,-38.025
0.139,-0.073,-1.735,154.419,-39.246,-37.048
0.078,-0.118,-1.855,154.602,-23.437,-23.132
0.018,-0.108,-2.043,157.776,3.113,-7.202
-0.030,0.028,-2.194,172.058,29.602,3.174
-0.039,0.189,-2.294,197.632,46.814,4.089
0.016,0.245,-2.218,235.718,43.030,-9.460
0.096,0.094,-1.975,270.508,5.493,-39.551
0.134,-0.167,-1.588,283.508,-61.768,-74.890
0.154,-0.329,-1.213,273.499,-129.089,-96.313
0.138,-0.496,-0.923,256.287,-170.959,-99.792
0.135,-0.416,-0.723,238.464,-170.227,-80.627
0.157,-0.234,-0.517,228.455,-140.503,-52.429
0.158,-0.093,-0.359,229.065,-111.084,-34.973
