aX,aY,aZ,gX,gY,gZ
0.590,0.917,1.567,54.138,-44.922,14.404
0.545,0.983,1.668,65.552,-55.115,14.343
0.425,1.011,1.730,76.660,-60.303,17.517
0.314,1.094,1.775,88.562,-57.556,22.522
0.216,1.197,1.791,93.079,-49.438,26.428
0.174,1.385,1.800,90.454,-44.495,27.344
0.167,1.645,1.819,88.135,-45.349,28.320
0.214,1.929,1.833,88.440,-47.607,27.954
0.197,2.036,1.765,93.018,-42.419,20.325
0.076,1.987,1.594,96.802,-28.870,0.549
-0.101,1.865,1.363,101.624,-15.137,-18.555
-0.299,1.621,1.073,101.013,-2.808,-25.635
-0.607,1.245,0.741,91.064,9.338,-18.555
-1.106,0.840,0.336,72.266,17.151,-0.610
-1.605,0.345,-0.142,52.979,22.400,0.305
-1.963,-0.315,-0.606,45.105,20.813,-48.828
-2.228,-1.217,-1.030,49.316,2.991,-148.193
-2.491,-2.254,-1.306,64.270,-27.832,-267.578
-2.604,-3.468,-1.446,92.346,-54.626,-360.474
-2.428,-4.000,-1.280,130.432,-73.181,-432.556
-1.996,-4.000,-0.632,169.983,-93.750,-482.056
-1.123,-4.000,0.266,200.134,-112.549,-482.910
0.399,-3.988,0.692,237.610,-41.931,-458.923
1.488,-3.468,0.481,198.120,133.850,-385.315
2.271,-2.937,0.031,110.107,263.306,-258.301
2.697,-2.428,-0.238,44.006,236.633,-149.902
2.409,-2.152,-0.242,-11.963,82.703,-66.528
1.454,-1.941,-0.064,-69.702,-85.327,35.767
0.404,-1.742,0.208,-110.474,-170.593,150.024
-0.588,-1.668,0.476,-130.371,-152.832,240.295
-1.427,-1.551,0.782,-129.028,-101.135,286.926
-1.733,-1.436,0.767,-117.493,-64.392,281.555
-1.711,-1.552,0.489,-134.521,-27.771,233.276
-1.579,-1.558,0.113,-174.805,-9.521,189.270
-1.548,-1.390,-0.197,-202.148,-5.188,183.228
-1.496,-1.155,-0.308,-196.045,-4.456,186.462
-1.464,-0.912,-0.295,-167.908,-8.057,178.101
-1.374,-0.713,-0.222,-140.442,-12.939,164.368
-1.252,-0.544,-0.087,-121.277,-26.550,141.724
-1.076,-0.405,0.051,-107.117,-41.931,117.371
-0.951,-0.298,0.234,-96.680,-49.377,97.656
-0.823,-0.278,0.324,-85.205,-46.631,86.731
-0.662,-0.156,0.510,-80.872,-37.415,86.365
-0.600,-0.109,0.634,-71.594,-24.658,89.844
-0.554,-0.080,0.744,-61.951,-7.446,91.370
-0.514,-0.017,0.788,-53.040,2.686,95.825
-0.567,0.001,0.855,-49.866,11.536,101.196
-0.547,0.065,0.837,-44.006,27.161,105.469
-0.564,0.143,0.869,-36.743,43.091,105.164
-0.481,0.264,0.919,-28.992,45.715,97.046
-0.373,0.358,0.955,-23.682,41.077,80.261
-0.275,0.381,0.952,-22.766,30.884,58.411
-0.205,0.323,0.974,-22.644,14.954,37.354
-0.137,0.262,1.005,-20.752,-3.601,21.362
-0.111,0.206,1.049,-16.541,-17.212,13.672
-0.106,0.131,1.071,-10.498,-20.691,13.245
-0.140,0.107,1.069,-4.028,-14.648,17.334
-0.160,0.105,1.072,-1.465,-2.686,23.743
-0.151,0.162,1.094,-1.465,11.169,29.846
-0.134,0.214,1.102,-1.648,25.085,33.447
-0.098,0.266,1.085,-3.296,35.278,32.715
-0.053,0.269,1.062,-4.761,39.673,29.053
-0.004,0.257,1.065,-5.249,36.743,20.691
0.037,0.251,1.087,-4.089,27.161,9.216
0.042,0.210,1.095,-5.249,16.235,-0.671
0.042,0.132,1.081,-7.751,7.629,-6.165
0.029,0.072,1.075,-8.484,2.319,-6.470
0.006,0.033,1.072,-8.484,0.244,-0.183
-0.030,0.014,1.081,-9.521,3.479,12.451
-0.049,0.082,1.122,-9.094,10.864,26.794
-0.076,0.148,1.154,-7.202,22.034,36.194
-0.087,0.193,1.155,-8.179,34.973,36.926
-0.071,0.228,1.132,-12.024,42.053,30.884
-0.052,0.252,1.112,-17.090,38.269,21.729
-0.054,0.259,1.097,-21.973,26.794,12.634
-0.072,0.254,1.098,-24.963,14.465,6.165
-0.100,0.237,1.099,-24.658,7.324,1.038
-0.121,0.203,1.099,-23.071,6.653,-2.563
-0.135,0.162,1.085,-20.935,8.667,-3.906
-0.128,0.130,1.073,-16.846,12.146,-3.052
-0.122,0.135,1.056,-11.597,16.479,0.671
-0.103,0.132,1.046,-7.690,20.630,6.714
-0.092,0.145,1.032,-5.005,23.437,12.146
-0.090,0.143,1.010,-2.930,23.865,14.587
-0.084,0.140,1.002,-1.038,22.034,12.695
-0.056,0.136,1.000,-0.183,18.494,7.263
-0.033,0.118,0.998,0.488,14.282,1.709
-0.026,0.090,0.996,1.831,10.620,-1.709
-0.027,0.048,0.997,4.272,8.179,-3.540
-0.014,-0.005,0.995,7.141,7.080,-3.235
-0.001,-0.041,1.001,10.315,5.859,-1.282
0.000,-0.070,1.012,12.878,4.517,2.258
0.007,-0.089,1.019,14.038,5.005,6.897
0.007,-0.100,1.030,13.916,5.493,9.827
-0.006,-0.110,1.042,12.329,5.920,11.536
-0.017,-0.089,1.049,10.742,7.996,10.315
-0.007,-0.086,1.016,8.789,10.742,6.836
-0.015,-0.087,0.990,6.287,10.498,2.930
-0.021,-0.089,0.973,2.930,6.531,1.831
-0.029,-0.100,0.969,-0.122,2.869,1.770
-0.029,-0.113,0.972,-0.671,1.404,0.977
-0.022,-0.138,0.978,0.488,1.709,0.183
-0.019,-0.149,0.987,1.038,1.892,0.488
-0.021,-0.155,0.988,0.977,2.075,2.380
-0.013,-0.157,0.987,1.465,2.991,4.456
-0.013,-0.151,0.981,2.075,4.028,6.897
-0.028,-0.154,0.970,2.380,5.005,8.606
-0.033,-0.148,0.956,3.357,5.676,9.094
-0.034,-0.138,0.957,3.662,5.676,8.911
-0.038,-0.134,0.956,2.563,5.066,8.362
-0.037,-0.122,0.954,1.709,4.822,7.812
-0.041,-0.114,0.951,1.038,4.883,7.263
